src/bot/handlers/wizard_text_handler.py:321: unexpected indent at "return"
src/api/utils/logging.py:83: unused function 'log_database_operation' (60% confidence)
src/api/utils/logging.py:134: unused attribute '__signature__' (60% confidence)
src/app/core/config.py:24: unused variable 'model_config' (60% confidence)
src/app/core/database.py:20: unused function 'get_db' (60% confidence)
src/app/main.py:7: unused function 'startup_event' (60% confidence)
src/bot/commands/help.py:68: unused variable 'help_handler' (60% confidence)
src/bot/commands/help.py:69: unused variable 'help_handler_alt' (60% confidence)
src/bot/services/api_legacy.py:31: unused method 'get_user_auth_level' (60% confidence)
src/bot/services/api_legacy.py:54: unused method 'get_available_efectivos' (60% confidence)
src/bot/services/api_service.py:31: unused method 'get_user_auth_level' (60% confidence)
src/bot/services/api_service.py:60: unreachable code after 'try' (100% confidence)
src/bot/services/api_service.py:62: unused method 'get_users' (60% confidence)
src/bot/utils/emojis.py:24: unused variable 'URGENT' (60% confidence)
src/bot/utils/emojis.py:34: unused variable 'ADMIN' (60% confidence)
src/bot/utils/emojis.py:35: unused variable 'SUPERVISOR' (60% confidence)
src/bot/utils/emojis.py:37: unused variable 'DELEGATED' (60% confidence)
src/bot/utils/emojis.py:38: unused variable 'ASSIGNED' (60% confidence)
src/bot/utils/emojis.py:39: unused variable 'TEAM' (60% confidence)
src/bot/utils/emojis.py:40: unused variable 'ID' (60% confidence)
src/bot/utils/emojis.py:46: unused variable 'STOP' (60% confidence)
src/bot/utils/emojis.py:48: unused variable 'DELETE' (60% confidence)
src/bot/utils/emojis.py:49: unused variable 'SAVE' (60% confidence)
src/bot/utils/emojis.py:50: unused variable 'SEND' (60% confidence)
src/bot/utils/emojis.py:51: unused variable 'RECEIVE' (60% confidence)
src/bot/utils/emojis.py:54: unused variable 'REFRESH' (60% confidence)
src/bot/utils/emojis.py:55: unused variable 'CONFIRM' (60% confidence)
src/bot/utils/emojis.py:65: unused variable 'LOADING' (60% confidence)
src/bot/utils/emojis.py:66: unused variable 'DONE' (60% confidence)
src/bot/utils/emojis.py:68: unused variable 'ATTENTION' (60% confidence)
src/bot/utils/emojis.py:73: unused variable 'MENU' (60% confidence)
src/bot/utils/emojis.py:74: unused variable 'HOME' (60% confidence)
src/bot/utils/emojis.py:77: unused variable 'UP' (60% confidence)
src/bot/utils/emojis.py:78: unused variable 'DOWN' (60% confidence)
src/bot/utils/emojis.py:81: unused variable 'EXPAND' (60% confidence)
src/bot/utils/emojis.py:82: unused variable 'COLLAPSE' (60% confidence)
src/bot/utils/emojis.py:85: unused class 'GeneralEmojis' (60% confidence)
src/bot/utils/emojis.py:87: unused variable 'ROBOT' (60% confidence)
src/bot/utils/emojis.py:88: unused variable 'WELCOME' (60% confidence)
src/bot/utils/emojis.py:89: unused variable 'HELP' (60% confidence)
src/bot/utils/emojis.py:90: unused variable 'SETTINGS' (60% confidence)
src/bot/utils/emojis.py:92: unused variable 'MESSAGE' (60% confidence)
src/bot/utils/emojis.py:93: unused variable 'CALENDAR' (60% confidence)
src/bot/utils/emojis.py:94: unused variable 'CLOCK' (60% confidence)
src/bot/utils/emojis.py:95: unused variable 'LOCATION' (60% confidence)
src/bot/utils/emojis.py:96: unused variable 'PHONE' (60% confidence)
src/bot/utils/emojis.py:97: unused variable 'EMAIL' (60% confidence)
src/bot/utils/emojis.py:98: unused variable 'LINK' (60% confidence)
src/bot/utils/emojis.py:99: unused variable 'KEY' (60% confidence)
src/bot/utils/emojis.py:100: unused variable 'LOCK' (60% confidence)
src/bot/utils/emojis.py:101: unused variable 'UNLOCK' (60% confidence)
src/bot/utils/emojis.py:108: unused variable 'PERCENT_0' (60% confidence)
src/bot/utils/emojis.py:109: unused variable 'PERCENT_25' (60% confidence)
src/bot/utils/emojis.py:110: unused variable 'PERCENT_50' (60% confidence)
src/bot/utils/emojis.py:111: unused variable 'PERCENT_75' (60% confidence)
src/bot/utils/emojis.py:112: unused variable 'PERCENT_100' (60% confidence)
src/bot/utils/emojis.py:118: unused variable 'INVALID' (60% confidence)
src/bot/utils/emojis.py:119: unused variable 'REQUIRED' (60% confidence)
src/bot/utils/emojis.py:121: unused variable 'FORMAT_OK' (60% confidence)
src/bot/utils/emojis.py:122: unused variable 'FORMAT_ERROR' (60% confidence)
src/bot/utils/emojis.py:141: unused function 'get_task_emoji' (60% confidence)
src/bot/utils/emojis.py:154: unused function 'get_status_emoji' (60% confidence)
src/bot/utils/emojis.py:167: unused function 'format_boolean' (60% confidence)
src/bot/utils/emojis.py:180: unused function 'format_progress' (60% confidence)
src/bot/utils/keyboards.py:164: unused method 'user_selector' (60% confidence)
src/bot/utils/keyboards.py:201: unused method 'multi_select_users' (60% confidence)
src/core/cache_decorators.py:86: unused function 'cache_result' (60% confidence)
src/core/cache_decorators.py:149: unused function 'invalidate_cache' (60% confidence)
src/core/cache_decorators.py:187: unused function 'cache_and_invalidate' (60% confidence)
src/core/logging.py:213: unused variable 'core_logger' (60% confidence)
src/core/migrations.py:28: unused attribute 'alembic_ini' (60% confidence)
src/core/migrations.py:231: unused method 'downgrade_database' (60% confidence)
src/core/migrations.py:350: unused function 'create_initial_migration' (60% confidence)
src/core/performance.py:81: unused method 'reset_statistics' (60% confidence)
src/core/performance.py:90: unused function 'track_query_performance' (60% confidence)
src/core/websocket_integration.py:230: unused function 'notify_task_change' (60% confidence)
src/core/websocket_integration.py:262: unused function 'notify_efectivo_change' (60% confidence)
src/core/websocket_integration.py:303: unused function 'receive_connect' (60% confidence)
src/core/websocket_integration.py:304: unused variable 'connection_record' (100% confidence)
src/core/websocket_integration.py:304: unused variable 'dbapi_connection' (100% confidence)
src/core/websocket_integration.py:308: unused function 'receive_before_execute' (60% confidence)
src/core/websocket_integration.py:309: unused variable 'execution_options' (100% confidence)
src/core/websocket_integration.py:309: unused variable 'multiparams' (100% confidence)
src/core/websockets.py:45: unused variable 'SYSTEM_STATUS' (60% confidence)
src/core/websockets.py:46: unused variable 'USER_ACTIVITY' (60% confidence)
src/core/websockets.py:80: unused variable 'target_user_id' (60% confidence)
src/core/websockets.py:81: unused variable 'target_role' (60% confidence)
src/core/websockets.py:97: unused variable 'model_config' (60% confidence)
src/core/websockets.py:359: unused method 'send_to_role' (60% confidence)
src/core/websockets.py:534: unused function 'notify_task_update' (60% confidence)
src/core/websockets.py:562: unused function 'send_notification' (60% confidence)
src/observability/metrics.py:185: unused function 'record_message_latency' (60% confidence)
src/schemas/tarea.py:16: unused class 'TareaBase' (60% confidence)
src/schemas/tarea.py:19: unused variable 'descripcion' (60% confidence)
src/schemas/tarea.py:27: unused variable 'efectivos_asignados' (60% confidence)
src/schemas/tarea.py:41: unused variable 'descripcion' (60% confidence)
src/schemas/tarea.py:44: unused variable 'efectivos_asignados' (60% confidence)
src/schemas/tarea.py:51: unused variable 'descripcion' (60% confidence)
src/schemas/tarea.py:58: unused variable 'efectivos_asignados' (60% confidence)
